1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;LABEL
Minimal sebulan sekali;Sering;Ya;Tidak pernah;Tidak pernah;Ya;Tidak pernah;Sering;Tidak, kulit saya gatal, memerah, atau pecah-pecah;Beberapa anggota keluarga;Kulit saya gatal;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Sering;Tidak pernah;Sering;S
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya gatal;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Sering;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Ya;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Sering;Sering;S
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Selalu;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;S
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak, kulit saya gatal, memerah, atau pecah-pecah;Tidak;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Sering;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Ya;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya gatal;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Sering;Sering;Tidak;Sering;Sering;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;S
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Sering;S
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya gatal;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Sering;Ya;Tidak pernah;Tidak pernah;Ya;Tidak pernah;Sering;Tidak, kulit saya gatal, memerah, atau pecah-pecah;Tidak;Kulit saya gatal;Sering;Sering;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;S
Minimal sebulan sekali;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Sering;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Beberapa anggota keluarga;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Sering;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya gatal;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Tidak pernah;Tidak pernah;Ya;Sering;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Sering;Tidak, kulit saya gatal, memerah, atau pecah-pecah;Beberapa anggota keluarga;Kulit saya gatal;Sering;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;S
Minimal sebulan sekali;Tidak pernah;Ya;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya gatal;Tidak pernah;Tidak pernah;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak, kulit saya gatal, memerah, atau pecah-pecah;Tidak;Kulit saya gatal;Sering;Sering;Sering;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Kadang-kadang;Tidak pernah;S
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Sering;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Sering;Tidak pernah;R
Tidak pernah;Sering;Ya;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Sering;Tidak;Sering;Tidak pernah;Tidak;Tidak pernah;Sering;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Tidak pernah;Sedikit (satu sampai tiga di seluruh wajah, termasuk hidung);Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Sering;R
Minimal sebulan sekali;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Tidak pernah;Tidak pernah;Tidak pernah;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Tidak pernah;Tidak pernah;R
Minimal sebulan sekali;Sering;Tidak;Tidak pernah;Tidak pernah;Tidak;Tidak pernah;Tidak pernah;Ya;Tidak;Kulit saya baik-baik saja;Sering;Tidak pernah;Sering;Tidak ada;Tidak pernah, atau saya tidak pernah menyadarinya;Sering;Sering;S
